id,name,bundesland,ags,ars,kommunaltyp,verwaltungstyp,parent_id,nuts_code,lau_code
2868,Ingelfingen,Baden-Württemberg,08126039,081265003039,GEMEINDE,Gemeindeverwaltung,,,
5355,Zeil am Main,Bayern,09674221,096740221221,GEMEINDE,Gemeindeverwaltung,,,
4727,Zeitlarn,Bayern,09375213,093750213213,GEMEINDE,Gemeindeverwaltung,,,
4829,Schlüsselfeld,Bayern,09471220,094710220220,GEMEINDE,Gemeindeverwaltung,,,
5405,Kleinwallstadt,Bayern,09676133,096765630133,GEMEINDE,Gemeindeverwaltung,,,
1234,Rehden,Niedersachsen,03251405,032515405000,GEMEINDE,Gemeindeverwaltung,,,
5629,Buttenwiesen,Bayern,09773122,097730122122,GEMEINDE,Gemeindeverwaltung,,,
1535,Bakum,Niedersachsen,03460001,034600001001,GEMEINDE,Gemeindeverwaltung,,,
3140,Haiterbach,Baden-Württemberg,08235032,082355007032,GEMEINDE,Gemeindeverwaltung,,,
4743,Wernberg-Köblitz,Bayern,09376150,093760150150,GEMEINDE,Gemeindeverwaltung,,,
2871,Kupferzell,Baden-Württemberg,08126047,081265001047,GEMEINDE,Gemeindeverwaltung,,,
4927,Oberkotzau,Bayern,09475158,094750158158,GEMEINDE,Gemeindeverwaltung,,,
2352,Helsa,Hessen,06633012,066330012012,GEMEINDE,Gemeindeverwaltung,,,
2661,Altbach,Baden-Württemberg,08116004,081165006004,GEMEINDE,Gemeindeverwaltung,,,
2958,Hüttlingen,Baden-Württemberg,08136033,081365001033,GEMEINDE,Gemeindeverwaltung,,,
4442,Wegscheid,Bayern,09275156,092750156156,GEMEINDE,Gemeindeverwaltung,,,
8104,Dornburg-Camburg,Thüringen,16074011,160745015011,GEMEINDE,Gemeindeverwaltung,,,
6124,Seelow,Brandenburg,12064448,120640448448,GEMEINDE,Gemeindeverwaltung,,,
1374,Neuenkirchen (HK),Niedersachsen,03358017,033580017017,GEMEINDE,Gemeindeverwaltung,,,
2232,Beselich,Hessen,06533001,065330001001,GEMEINDE,Gemeindeverwaltung,,,
1553,Ovelgönne,Niedersachsen,03461008,034610008008,GEMEINDE,Gemeindeverwaltung,,,
5871,Blaichach,Bayern,09780115,097800115115,GEMEINDE,Gemeindeverwaltung,,,
4549,Mengkofen,Bayern,09279127,092790127127,GEMEINDE,Gemeindeverwaltung,,,
4985,Ebensfeld,Bayern,09478120,094780120120,GEMEINDE,Gemeindeverwaltung,,,
7276,Fraureuth,Sachsen,14524060,145240060060,GEMEINDE,Gemeindeverwaltung,,,
5167,Markt Erlbach,Bayern,09575145,095750145145,GEMEINDE,Gemeindeverwaltung,,,
3117,Waibstadt,Baden-Württemberg,08226091,082265009091,GEMEINDE,Gemeindeverwaltung,,,
4362,Riedenburg,Bayern,09273164,092730164164,GEMEINDE,Gemeindeverwaltung,,,
2730,Kuchen,Baden-Württemberg,08117033,081175004033,GEMEINDE,Gemeindeverwaltung,,,
3891,Kipfenberg,Bayern,09176138,091760138138,GEMEINDE,Gemeindeverwaltung,,,
2058,Stockstadt am Rhein,Hessen,06433013,064330013013,GEMEINDE,Gemeindeverwaltung,,,
2264,Lohra,Hessen,06534013,065340013013,GEMEINDE,Gemeindeverwaltung,,,
4692,Beratzhausen,Bayern,09375118,093750118118,GEMEINDE,Gemeindeverwaltung,,,
871,Ellerau,Schleswig-Holstein,01060019,010600019019,GEMEINDE,Gemeindeverwaltung,,,
2161,Walluf,Hessen,06439017,064390017017,GEMEINDE,Gemeindeverwaltung,,,
2922,Külsheim,Baden-Württemberg,08128064,081280064064,GEMEINDE,Gemeindeverwaltung,,,
4162,Brannenburg,Bayern,09187120,091870120120,GEMEINDE,Gemeindeverwaltung,,,
2715,Deggingen,Baden-Württemberg,08117014,081175001014,GEMEINDE,Gemeindeverwaltung,,,
4213,Pöcking,Bayern,09188137,091880137137,GEMEINDE,Gemeindeverwaltung,,,
5029,Dietenhofen,Bayern,09571135,095710135135,GEMEINDE,Gemeindeverwaltung,,,
3254,Vogtsburg im Kaiserstuhl,Baden-Württemberg,08315133,083150133133,GEMEINDE,Gemeindeverwaltung,,,
4693,Bernhardswald,Bayern,09375119,093750119119,GEMEINDE,Gemeindeverwaltung,,,
2160,Waldems,Hessen,06439016,064390016016,GEMEINDE,Gemeindeverwaltung,,,
523,Lütjenburg,Schleswig-Holstein,01057048,010575727048,GEMEINDE,Gemeindeverwaltung,,,
5865,Wemding,Bayern,09779228,097795723228,GEMEINDE,Gemeindeverwaltung,,,
2670,Dettingen unter Teck,Baden-Württemberg,08116016,081165001016,GEMEINDE,Gemeindeverwaltung,,,
4711,Pentling,Bayern,09375180,093750180180,GEMEINDE,Gemeindeverwaltung,,,
4643,Pyrbaum,Bayern,09373156,093730156156,GEMEINDE,Gemeindeverwaltung,,,
2920,Igersheim,Baden-Württemberg,08128058,081285001058,GEMEINDE,Gemeindeverwaltung,,,
2177,Münzenberg,Hessen,06440015,064400015015,GEMEINDE,Gemeindeverwaltung,,,
4158,Aschau im Chiemgau,Bayern,09187114,091870114114,GEMEINDE,Gemeindeverwaltung,,,
5044,Leutershausen,Bayern,09571174,095710174174,GEMEINDE,Gemeindeverwaltung,,,
2893,Mainhardt,Baden-Württemberg,08127052,081270052052,GEMEINDE,Gemeindeverwaltung,,,
3936,Au in der Hallertau,Bayern,09178116,091780116116,GEMEINDE,Gemeindeverwaltung,,,
5838,Harburg (Schwaben),Bayern,09779155,097790155155,GEMEINDE,Gemeindeverwaltung,,,
4243,Tacherting,Bayern,09189149,091890149149,GEMEINDE,Gemeindeverwaltung,,,
2401,Battenberg (Eder),Hessen,06635004,066350004004,GEMEINDE,Gemeindeverwaltung,,,
5965,Biesenthal,Brandenburg,12060024,120605003024,GEMEINDE,Gemeindeverwaltung,,,
2941,Sontheim an der Brenz,Baden-Württemberg,08135031,081355003031,GEMEINDE,Gemeindeverwaltung,,,
6734,Sundhagen,Mecklenburg-Vorpommern,13073090,130735356090,GEMEINDE,Gemeindeverwaltung,,,
7481,Tharandt,Sachsen,14628400,146285240400,GEMEINDE,Gemeindeverwaltung,,,
3539,Kirchentellinsfurt,Baden-Württemberg,08416022,084160022022,GEMEINDE,Gemeindeverwaltung,,,
3839,Erdweg,Bayern,09174118,091740118118,GEMEINDE,Gemeindeverwaltung,,,
2995,Kronau,Baden-Württemberg,08215039,082155001039,GEMEINDE,Gemeindeverwaltung,,,
3650,Ertingen,Baden-Württemberg,08426045,084265007045,GEMEINDE,Gemeindeverwaltung,,,
4014,Geltendorf,Bayern,09181122,091810122122,GEMEINDE,Gemeindeverwaltung,,,
7199,Halsbrücke,Sachsen,14522240,145220240240,GEMEINDE,Gemeindeverwaltung,,,
4745,Pfreimd,Bayern,09376153,093765343153,GEMEINDE,Gemeindeverwaltung,,,
839,Tarp,Schleswig-Holstein,01059171,010595940171,GEMEINDE,Gemeindeverwaltung,,,
4040,Fischbachau,Bayern,09182114,091820114114,GEMEINDE,Gemeindeverwaltung,,,
3691,Meersburg,Baden-Württemberg,08435036,084355004036,GEMEINDE,Gemeindeverwaltung,,,
2712,Böhmenkirch,Baden-Württemberg,08117010,081170010010,GEMEINDE,Gemeindeverwaltung,,,
5185,Abenberg,Bayern,09576111,095760111111,GEMEINDE,Gemeindeverwaltung,,,
4052,Waakirchen,Bayern,09182134,091820134134,GEMEINDE,Gemeindeverwaltung,,,
2387,Niedenstein,Hessen,06634018,066340018018,GEMEINDE,Gemeindeverwaltung,,,
2334,Niederaula,Hessen,06632015,066320015015,GEMEINDE,Gemeindeverwaltung,,,
7498,Großpösna,Sachsen,14729190,147290190190,GEMEINDE,Gemeindeverwaltung,,,
3144,Neubulach,Baden-Württemberg,08235047,082355005047,GEMEINDE,Gemeindeverwaltung,,,
4473,Bad Birnbach,Bayern,09277113,092775241113,GEMEINDE,Gemeindeverwaltung,,,
2664,Baltmannsweiler,Baden-Württemberg,08116007,081165007007,GEMEINDE,Gemeindeverwaltung,,,
2404,Diemelstadt,Hessen,06635008,066350008008,GEMEINDE,Gemeindeverwaltung,,,
4151,Rohrbach (PAF),Bayern,09186149,091860149149,GEMEINDE,Gemeindeverwaltung,,,
2836,Kirchardt,Baden-Württemberg,08125049,081255002049,GEMEINDE,Gemeindeverwaltung,,,
2747,Benningen am Neckar,Baden-Württemberg,08118006,081185005006,GEMEINDE,Gemeindeverwaltung,,,
3502,Küssaberg,Baden-Württemberg,08337125,083375003125,GEMEINDE,Gemeindeverwaltung,,,
5475,Kolitzheim,Bayern,09678150,096780150150,GEMEINDE,Gemeindeverwaltung,,,
4364,Saal an der Donau,Bayern,09273166,092735216166,GEMEINDE,Gemeindeverwaltung,,,
144,Büchen,Schleswig-Holstein,01053020,010535318020,GEMEINDE,Gemeindeverwaltung,,,
4983,Altenkunstadt,Bayern,09478111,094780111111,GEMEINDE,Gemeindeverwaltung,,,
4856,Pottenstein,Bayern,09472179,094720179179,GEMEINDE,Gemeindeverwaltung,,,
3536,Dußlingen,Baden-Württemberg,08416011,084165001011,GEMEINDE,Gemeindeverwaltung,,,
3191,Eutingen im Gäu,Baden-Württemberg,08237027,082375003027,GEMEINDE,Gemeindeverwaltung,,,
3528,Engstingen,Baden-Württemberg,08415089,084155001089,GEMEINDE,Gemeindeverwaltung,,,
2733,Rechberghausen,Baden-Württemberg,08117038,081175008038,GEMEINDE,Gemeindeverwaltung,,,
3318,Sasbach,Baden-Württemberg,08317116,083175001116,GEMEINDE,Gemeindeverwaltung,,,
4192,Rohrdorf (RO),Bayern,09187169,091870169169,GEMEINDE,Gemeindeverwaltung,,,
4110,Schäftlarn,Bayern,09184142,091840142142,GEMEINDE,Gemeindeverwaltung,,,
3171,Neuhausen (PF),Baden-Württemberg,08236044,082365007044,GEMEINDE,Gemeindeverwaltung,,,
2728,Heiningen,Baden-Württemberg,08117030,081175011030,GEMEINDE,Gemeindeverwaltung,,,
1491,Borkum,Niedersachsen,03457002,034570002002,GEMEINDE,Gemeindeverwaltung,,,
3175,Tiefenbronn,Baden-Württemberg,08236062,082365007062,GEMEINDE,Gemeindeverwaltung,,,
423,Süsel,Schleswig-Holstein,01055041,010550041041,GEMEINDE,Gemeindeverwaltung,,,
